"etternavn"	"Personer 2021"
"Aa"	246
"Aabel"	250
"Aaberg"	369
"Aaby"	274
"Aabø"	234
"Aadland"	527
"Aae"	207
"Aaen"	203
"Aagaard"	337
"Aagesen"	274
"Aakervik"	201
"Aakre"	887
"Aakvik"	335
"Aaland"	327
"Aalberg"	509
"Aalvik"	235
"Aam"	249
"Aamodt"	1993
"Aamot"	354
"Aandahl"	.
"Aandal"	240
"Aanensen"	487
"Aanerud"	254
"Aanes"	412
"Aanestad"	420
"Aanonsen"	596
"Aanstad"	238
"Aardal"	500
"Aarflot"	243
"Aarhus"	457
"Aarland"	208
"Aarnes"	628
"Aarrestad"	291
"Aarsand"	218
"Aarseth"	930
"Aarskog"	361
"Aarsland"	354
"Aarstad"	608
"Aarum"	283
"Aarvik"	556
"Aarø"	386
"Aas"	5762
"Aasberg"	260
"Aasbø"	497
"Aase"	2506
"Aasebø"	396
"Aasen"	4423
"Aaserud"	646
"Aaseth"	220
"Aasgaard"	480
"Aasheim"	1606
"Aasland"	1040
"Aaslund"	301
"Aass"	522
"Abbas"	708
"Abdalla"	242
"Abdallah"	245
"Abdi"	2116
"Abdirahman"	273
"Abdulla"	209
"Abdullah"	758
"Abdullahi"	884
"Abdulle"	360
"Abelsen"	662
"Abraha"	317
"Abraham"	430
"Abrahamsen"	3832
"Abukar"	331
"Adam"	632
"Adan"	475
"Aden"	392
"Adolfsen"	891
"Afzal"	368
"Aga"	749
"Aglen"	270
"Ahmad"	2108
"Ahmadi"	865
"Ahmadzai"	244
"Ahmed"	5878
"Akbari"	263
"Aker"	353
"Akhtar"	935
"Akram"	367
"Aksdal"	313
"Akselsen"	929
"Aksnes"	963
"Alahmad"	333
"Alali"	307
"Albertsen"	727
"Albrigtsen"	716
"Aleksandersen"	446
"Alexandersen"	544
"Alfheim"	336
"Alfredsen"	427
"Alfsen"	398
"Algrøy"	309
"Ali"	7183
"Allum"	211
"Alm"	551
"Almaas"	243
"Alme"	652
"Almli"	330
"Almås"	1028
"Alnes"	624
"Alnæs"	233
"Alsaker"	556
"Alsos"	201
"Alstad"	1032
"Alsvik"	267
"Alver"	237
"Alvestad"	895
"Alvheim"	320
"Alvær"	217
"Amble"	232
"Amdahl"	211
"Amdal"	791
"Amdam"	214
"Amin"	535
"Amini"	223
"Amiri"	365
"Amlie"	207
"Amundsen"	7129
"Anda"	406
"Andersen"	35544
"Anderson"	691
"Anderssen"	813
"Andersson"	2472
"Andorsen"	207
"Andreassen"	11651
"Andresen"	6135
"Andvik"	244
"Anfinsen"	318
"Angell"	761
"Angelsen"	456
"Angeltveit"	351
"Angvik"	247
"Anthonsen"	333
"Anti"	280
"Antonsen"	5012
"Anwar"	412
"Apeland"	532
"Araya"	420
"Arctander"	242
"Arif"	255
"Arneberg"	374
"Arnesen"	5056
"Arnestad"	329
"Arnevik"	215
"Arntsen"	1974
"Arntzen"	1996
"Arnøy"	376
"Aronsen"	1254
"Arshad"	303
"Arslan"	207
"Arvesen"	482
"Asbjørnsen"	863
"Asghar"	260
"Asheim"	429
"Ashraf"	409
"Ask"	1316
"Aske"	513
"Askeland"	1209
"Askevold"	203
"Askildsen"	259
"Askim"	306
"Askvik"	307
"Aslaksen"	1006
"Aslam"	425
"Asp"	293
"Aspaas"	297
"Aspelund"	496
"Aspen"	468
"Aspenes"	308
"Asphaug"	368
"Astrup"	347
"Auestad"	587
"Augestad"	334
"Aukland"	260
"Aulie"	374
"Aunan"	330
"Aune"	4199
"Aurdal"	273
"Aure"	449
"Aurstad"	251
"Ausland"	387
"Austad"	1167
"Austbø"	351
"Austnes"	307
"Austrheim"	431
"Axelsen"	410
"Aziz"	565
"Azizi"	280
"Baardsen"	463
"Bach"	501
"Backe"	283
"Bakk"	332
"Bakka"	471
"Bakkan"	210
"Bakke"	6770
"Bakkehaug"	268
"Bakkejord"	237
"Bakkeli"	205
"Bakkelund"	212
"Bakken"	7642
"Bakker"	304
"Bakkerud"	287
"Bakketun"	227
"Bakstad"	203
"Ballestad"	249
"Balstad"	280
"Baltzersen"	318
"Bang"	1287
"Barka"	245
"Barmen"	210
"Barstad"	1094
"Barth"	336
"Bartnes"	267
"Bashir"	459
"Bastiansen"	269
"Bauer"	277
"Bauge"	599
"Baumann"	303
"Baustad"	222
"Bay"	232
"Bech"	674
"Beck"	777
"Becker"	300
"Begum"	682
"Bekkelund"	742
"Bekken"	1082
"Bekkevold"	1186
"Bell"	299
"Belsvik"	256
"Bendiksen"	1537
"Bendixen"	319
"Bengtsson"	233
"Benjaminsen"	1171
"Benonisen"	217
"Bentsen"	1098
"Bentzen"	803
"Berdal"	417
"Berentsen"	693
"Berg"	17702
"Bergan"	1304
"Berge"	6850
"Bergem"	348
"Bergene"	452
"Berger"	2215
"Bergersen"	1560
"Bergerud"	456
"Bergesen"	717
"Berget"	1859
"Berggren"	351
"Bergh"	1018
"Bergheim"	990
"Bergland"	510
"Bergli"	984
"Berglund"	1279
"Bergman"	356
"Bergmann"	615
"Bergo"	282
"Bergquist"	273
"Bergseng"	258
"Bergset"	311
"Bergseth"	557
"Bergstrøm"	820
"Bergsvik"	213
"Bergtun"	241
"Bergum"	949
"Berhane"	389
"Berhe"	448
"Berisha"	547
"Berland"	602
"Bernhardsen"	528
"Berntsen"	5385
"Berntzen"	973
"Berre"	315
"Berstad"	328
"Bertelsen"	1088
"Berthelsen"	499
"Bertheussen"	691
"Betten"	339
"Beyene"	230
"Beyer"	200
"Bhatti"	342
"Bibi"	394
"Bilstad"	278
"Birkedal"	308
"Birkeland"	4739
"Birkeli"	230
"Birkelund"	706
"Birkenes"	379
"Bjelland"	1737
"Bjerga"	426
"Bjerk"	372
"Bjerkan"	833
"Bjerke"	3581
"Bjerkeli"	334
"Bjerkelund"	325
"Bjerkestrand"	384
"Bjerkli"	295
"Bjerknes"	929
"Bjerkvik"	209
"Bjerkås"	312
"Bjordal"	688
"Bjorland"	201
"Bjorøy"	271
"Bjune"	283
"Bjønnes"	291
"Bjønness"	209
"Bjørdal"	580
"Bjørgan"	452
"Bjørge"	1283
"Bjørgen"	394
"Bjørgo"	281
"Bjørgum"	475
"Bjørheim"	307
"Bjørk"	484
"Bjørke"	775
"Bjørkedal"	337
"Bjørkhaug"	398
"Bjørkheim"	216
"Bjørkli"	554
"Bjørklund"	1251
"Bjørkmo"	259
"Bjørkum"	206
"Bjørkås"	340
"Bjørlo"	319
"Bjørn"	321
"Bjørndal"	949
"Bjørndalen"	325
"Bjørnerud"	493
"Bjørnes"	.
"Bjørnestad"	486
"Bjørnevik"	372
"Bjørnsen"	1464
"Bjørnstad"	3084
"Bjørnø"	250
"Bjørnøy"	224
"Bjørnå"	309
"Bjørseth"	362
"Bjørsvik"	547
"Bjørvik"	504
"Blakstad"	400
"Blindheim"	1038
"Blix"	703
"Blom"	989
"Blomberg"	316
"Blomvik"	.
"Blystad"	304
"Bodin"	227
"Boge"	597
"Bogen"	636
"Bogstrand"	202
"Bolme"	427
"Bolstad"	1616
"Bondevik"	203
"Bones"	241
"Bonsaksen"	230
"Borch"	375
"Borchgrevink"	287
"Bore"	640
