"fornavn"	"Personer 2021"
"Aagot"	.
"Aase"	2963
"Aashild"	273
"Aasta"	238
"Abigail"	250
"Ada"	3617
"Adele"	1080
"Adelen"	212
"Adelina"	235
"Adriana"	708
"Agata"	559
"Agathe"	354
"Agne"	239
"Agnes"	3449
"Agnete"	555
"Agnethe"	430
"Agnieszka"	1681
"Aida"	686
"Aileen"	247
"Ailin"	387
"Aina"	3996
"Aisha"	1002
"Alba"	408
"Aleksandra"	1826
"Alette"	308
"Alexandra"	2702
"Alfhild"	698
"Alice"	1573
"Alicia"	433
"Alicja"	486
"Alida"	750
"Alina"	1436
"Aline"	315
"Alisa"	349
"Alise"	561
"Alma"	3396
"Alva"	1827
"Alvhild"	387
"Alvilde"	468
"Amal"	562
"Amalia"	231
"Amalie"	8376
"Amanda"	4385
"Amelia"	1737
"Amelie"	244
"Amina"	1420
"Amira"	524
"Amna"	287
"Amy"	458
"Ana"	1607
"Anastasia"	470
"Anbjørg"	286
"Andrea"	7756
"Andrine"	1714
"Ane"	4548
"Aneta"	490
"Anett"	527
"Anette"	8472
"Angela"	570
"Angelica"	1208
"Angelika"	499
"Angelina"	385
"Anine"	1166
"Anisa"	275
"Anita"	14581
"Anja"	3702
"Anlaug"	343
"Ann"	19732
"Ann-Christin"	.
"Ann-Helen"	.
"Ann-Karin"	.
"Ann-Kristin"	.
"Ann-Mari"	.
"Anna"	19778
"Annabelle"	214
"Annbjørg"	847
"Anne"	70752
"Anne-Berit"	.
"Anne-Brit"	.
"Anne-Britt"	.
"Anne-Grete"	.
"Anne-Grethe"	.
"Anne-Kari"	.
"Anne-Karin"	.
"Anne-Kristin"	.
"Anne-Lene"	.
"Anne-Lise"	.
"Anne-Mari"	.
"Anne-Marie"	.
"Anne-Marit"	.
"Anne-Mette"	.
"Anne-Sofie"	.
"Anneli"	636
"Annelise"	407
"Annette"	2409
"Anni"	498
"Annie"	1277
"Annika"	1163
"Anniken"	2731
"Annlaug"	493
"Anny"	1777
"Antonia"	211
"Aria"	589
"Ariana"	495
"Ariel"	547
"Arna"	543
"Arnhild"	1242
"Asbjørg"	938
"Asha"	249
"Aslaug"	2547
"Asma"	305
"Asta"	723
"Astri"	1915
"Astrid"	16519
"Aud"	10639
"Audhild"	970
"Audny"	217
"Aurora"	5207
"Ausra"	215
"Ava"	589
"Aya"	505
"Ayan"	326
"Ayla"	390
"Aylin"	287
"Ayse"	323
"Azra"	238
"Barbara"	1014
"Barbro"	1113
"Beata"	760
"Beate"	4426
"Beathe"	682
"Beatrice"	405
"Belinda"	381
"Bella"	319
"Benedicte"	2736
"Benedikte"	1424
"Bente"	16137
"Benthe"	264
"Bergit"	.
"Bergliot"	.
"Bergljot"	456
"Berit"	16300
"Berta"	.
"Bertha"	.
"Bertine"	419
"Betina"	278
"Bettina"	693
"Betty"	409
"Bianca"	538
"Birgit"	2958
"Birgith"	.
"Birgitta"	220
"Birgitte"	2669
"Birte"	674
"Birthe"	677
"Bjørg"	14695
"Bodil"	5306
"Borghild"	1407
"Borgny"	927
"Bozena"	241
"Brit"	5783
"Brita"	1724
"Brith"	584
"Britt"	7686
"Britta"	.
"Brynhild"	536
"Bushra"	270
"Camilla"	13772
"Carina"	2565
"Carine"	269
"Carla"	343
"Carmen"	906
"Carolina"	345
"Caroline"	5657
"Cassandra"	593
"Catharina"	514
"Catherine"	547
"Cathrin"	332
"Cathrine"	6563
"Catrine"	444
"Cecilia"	823
"Cecilie"	8338
"Celia"	238
"Celina"	1983
"Celine"	3784
"Cesilie"	209
"Charlotte"	6335
"Christel"	631
"Christiane"	445
"Christin"	1092
"Christina"	4583
"Christine"	5764
"Cicilie"	221
"Cindy"	282
"Clara"	695
"Claudia"	639
"Connie"	831
"Cornelia"	1294
"Cristina"	504
"Dagfrid"	.
"Dagmar"	466
"Dagny"	1352
"Dagrun"	578
"Daiva"	275
"Dalia"	253
"Dana"	253
"Daniela"	744
"Daniella"	342
"Danuta"	248
"Daria"	455
"Deborah"	223
"Desiree"	.
"Diana"	1546
"Dina"	2405
"Dominika"	408
"Dordi"	.
"Doris"	447
"Dorota"	657
"Dorthe"	439
"Dorthea"	292
"Ea"	321
"Ebba"	829
"Edda"	262
"Edel"	2018
"Eden"	258
"Edit"	209
"Edita"	288
"Edith"	1869
"Edle"	362
"Edna"	320
"Edny"	.
"Edyta"	334
"Egle"	287
"Eileen"	603
"Eilen"	.
"Eilin"	209
"Eir"	274
"Eira"	1295
"Eiril"	319
"Eirill"	236
"Eirin"	2750
"Eivor"	511
"Ekaterina"	353
"Elbjørg"	220
"Eldbjørg"	1486
"Eldrid"	416
"Elea"	361
"Eleah"	237
"Elen"	447
"Elena"	2661
"Elfrid"	333
"Eli"	7954
"Eliana"	293
"Elida"	1276
"Elin"	14531
"Elina"	1172
"Eline"	5130
"Elinor"	367
"Elisa"	930
"Elisabet"	877
"Elisabeth"	17382
"Elise"	7507
"Eliza"	337
"Elizabeth"	1234
"Ella"	6065
"Elle"	251
"Ellen"	12693
"Ellie"	912
"Ellinor"	3115
"Elly"	499
"Elma"	223
"Elna"	555
"Elsa"	2923
"Else"	10328
"Else-Marie"	.
"Elsie"	247
"Elvira"	1123
"Elzbieta"	499
"Ema"	230
"Embla"	844
"Emelie"	317
"Emely"	258
"Emilia"	1813
"Emilie"	11285
"Emilija"	243
"Emily"	2243
"Emina"	309
"Emine"	714
"Emma"	13062
"Emmeli"	232
"Emmeline"	226
"Emmy"	446
"Enya"	252
"Erica"	686
"Erika"	1553
"Erle"	1720
"Erna"	1923
